jobType|header|jobDetail|salary|workExp|edu|tool|welfare|area|date|link|final_salary
前端工程師|電子商務前端工程師|"【工作編制說明】
本職缺屬[蒙恩聽障烘焙坊]旗下子公司-信實資訊有限公司的職缺
目前蒙恩的官網由信實資訊有限公司開發建置與維護

【工作內容】
1.購物網站建置與開發
2.會員活動串接與規劃
3.報表需求確認與開發
4.提升平台效能與反應速度
5.其他主管交辦事項

【需求條件】
1. 熟悉 CSS、SCSS/SASS
2. 熟悉不同瀏覽器之間的相容性問題以及 RWD 行動裝置網頁開發經驗。 
3. 熟悉 JavaScript、jQuery。 
4. 與後端工程師協作，開發網頁前端互動。
5. 具備良好的溝通及團隊合作能力。
6. 重視程式品質，注重使用者體驗。

【加分條件】
1. UI / UX設計經驗
2. 熟悉Vue.js、Nuxt.js 
3. PHP後端框架開發經驗（Laravel）

【上班時間及地點】
地點：台中市北屯區北屯路210號B1
時間：周一至周五 上午9點至下午6點(含休息一小時)

【應徵流程】
1. 應徵報名：
應徵者請先下戴本公司專用履歷表，
https://www.deaf.com.tw/files/resume.doc
填寫完畢後寄到HR@deaf.com.tw，信件標題(或主旨)請寫應徵職務名稱

2. 履歷初審：
完成初審後，會寄發面試通知信給您，請留意信件訊息。
初審不符合，將不會通知
**未寄蒙恩專用履歷，不予面試**"|月薪40,000~60,000元|2年以上|大學以上|PHP, JavaScript, jQuery, CSS, Sass|"【福利制度】
■享健保、勞保、退休金提撥
■年度免費員工健檢
■員工用餐休息區
■感恩餐會活動、員工旅遊、活動體驗營
■正職同仁享有員購9折優惠

【休假制度】
■依勞基法相關規定辦理，如：特別休假、女性員工產假、陪產檢及陪產假、產檢假、生理假、育嬰假..等

【訓練制度】
■訓練課程規劃(新人訓練、在職訓練、籌備幹部訓練)
■年度個人化培訓計劃
■外訓課程補助

【其他】
■不定期手語課程（採自由報名）

"|台中市北屯區|2025-03-29|https://www.104.com.tw/job/8ilro?jobsource=m_index_s|40000
前端工程師|前端網頁工程師|"工作內容:
1. 與 UI/UX 設計師、後端工程師以及PM密切合作，以實現高品質的前端解決方案
2. 建構便於擴充、維護的前端架構優化網站性能和可用性
3. 根據項目需求進行代碼優化，提高網站性能和用戶體驗
4. 對新技術進行研究和探索，提高開發效率

條件要求:
- 熟悉 HTML、CSS(SASS)、JavaScript ES6+、Tailwind CSS
- 熟悉至少一種JS框架，如 Vue3 / Nuxt3
- 熟悉至少一種UI框架，如 Bootstrap / Ant Design
- 具備 RWD、SPA 經驗
- 熟悉 Git 操作流程
- 具備 RESTful API 串接經驗
- 熟 NPM、Webpack、Vite、Node.js 等前端開發工具
- 有跨瀏覽器、跨系統相容性問題解決能力
- 良好的程式碼寫作習慣
- 良好的溝通與表達能力
- 願意與夥伴分享知識和經驗"|月薪60,000~100,000元|3年以上|高中以上|Git, HTML, JavaScript, CSS, Sass, Node.js, VueJS|"【休假制度】
除勞基法規定之特休假外，補班日不用補班，生日當月有生日假。

【保險】
提供勞工保險、健康保險。

【休閒娛樂】
尾牙、慶生會、不定期公司/部門聚餐。

【獎金制度】
固定2個月年終獎金，端午節、中秋節節慶獎金，為鼓勵同仁推薦外部人才加入，也提供優渥的人才推薦獎金，婚/喪/喜慶禮金補助等。

【環境舒適】
提供寬敞明亮的工作空間，舒適的工作配備，貨色齊全的零食飲料吧台，工作疲勞時可以適度休息的小憩空間等。

【交通】
辦公室鄰近捷運西湖站，走路只要５分鐘。"|台北市內湖區|2025-03-29|https://www.104.com.tw/job/8cm3k?jobsource=m_index_s|60000
前端工程師|軟體設計工程師(BU5-高雄)|"本職務主要負責新產品系統開發，協助汽車相關零售服務業提升經營效率，以數位轉型及創新服務，面對競爭與服務客戶。由於『行』是人類生活不可或缺的需求，在AI與電動車的發展過程，勢必為本產業企業帶來各種創新與轉型。因此，這是一個具有重要性和發展前景的職位。
        我們提供多元的職涯發展舞台，無論是從前端UI、後端到全端程式開發(包括網頁、winform、App、BI、AI程式)，還是與客戶市場互動密切的輔導顧問及業務開發，都會是您可以發掘自己潛能及獲得成就的地方。
        本次招募以具BI、AI背景且能獨立開發者優先，請提交您的履歷表和求職信時加註你在此領域的經歷。我們期待與您合作。"|月薪40,000元以上|1年以上|大學、碩士|C#, Java, Visual Studio .net, MS SQL, JavaScript, CSS, Figma, Wireframe|年終績效獎金、專案結餘獎金、部門營運獎金、年度旅遊、職工福利委員會、生日禮金、特休、勞保、健保|高雄市三民區|2025-03-29|https://www.104.com.tw/job/7xww3?jobsource=m_index_s|40000
前端工程師|UI網頁設計師|"★★★主要工作內容★★★
1.品牌官網/電子商務網頁美學視覺風格提案、設計與維護
2.網頁EDM設計、UI/UX設計、SEO優化、BANNER設計、手機版網站設計、RWD設計製作， 熟悉各種瀏覽器的兼容性
3.具備HTML5、CSS3、JQuery、JS…等網頁前端互動特效能力
4.具視覺傳達溝通能力與美學素養，邏輯清楚，良好的流程設計概念，對網頁語法有熱情，願意主動嘗試新技術
5.量身訂做的專案開發，具有完整案件執行經驗，獨立開發作業能力

★★★加分項目★★★
✩具數位廣告設計、APP、遊戲設計...等經驗
✩熟悉使用者行為與 UI 設計流程和規範
✩熟悉Bootstrap...等工具

✿✿✿本職務依能力核定本薪，並額外享有績效獎金/業績分紅✿✿✿

☀誠實可靠是我們重視的核心價值，樂於工作，創造美好生活！如果你樂觀又富有創意，積極參與團隊運作，隨時歡迎你加入我們的團隊☀"|月薪43,000~55,000元|1年以上|大學以上|Dreamweaver, HTML, JavaScript, jQuery, CSS, Adobe Animate, Adobe Photoshop, Illustrator, Figma, VueJS|"獎金/禮品：
◆ 為了感謝你競競業業，風雨無阻，我們提供全勤獎金
◆ 為了恭喜你人生解鎖，我們奉上結婚禮金
◆ 為了你的春節紅包，我們視當年度公司收益與個人績效發放年終獎金
◆ 會計的臉色如果還可以，我們還會斟酌發放三節禮金/禮品
◆ 為了讓你勇敢邁出上進的腳步，我們支援你申請進修補助與專業證照獎金
◆ 為了讓你的付出得到回饋，我們設有多元獎勵金：分紅獎金/業績獎金/專案獎金/研發專利獎金...

保險：
◆ 為了讓你出門在外，家人朋友能夠放心，公司幫你加碼團保意外險與住院醫療險

休假：
◆為了歡迎你來到這個星球，我們提供生日假

休閒：
◆ 為了讓你拓展視野，我們視營運狀況舉辦國內外旅遊
◆ 為了讓你有源源不絕的動腦能量，我們供應現磨Coffee or Tea和零食
◆ 為了讓你有本錢抵抗外面的風雨，我們不定期聚餐，幫你增加份量

其他：
◆ 為了照顧你的心肝，我們希望每逢六日及國定假日，你不要來公司
◆ 為了讓你有更多時間玩耍、陪家人，我們提倡有效率的工作，勝過無意義的加班
◆ 老闆為了多賺一點，特別優惠購物員工價...

 ★在照顧夥伴的這條路上，我們一步一步提升並追求更好的環境
感謝一起努力打拼的夥伴
為維護忙碌中依舊要保有的幸福感
我們也盡力為夥伴把關
拒絕職場上的恐怖情人
現在我們正在為這個大家庭尋找神隊友
對設計有熱忱的新血友
歡迎加入我們的團隊

意者請將完整履歷及作品集徑行mail至下列信箱：hr@hc-idea.com
或上公司官網www.hc-idea.com查詢人才招募"|雲林縣北港鎮|2025-03-29|https://www.104.com.tw/job/80t7w?jobsource=m_index_s|43000
前端工程師|NodeJS 後端工程師(高雄)|"我們正在尋找一位具備豐富經驗的 Node.js 程式設計師，負責開發與維護高效能、可擴展的後端系統。您將與跨功能團隊合作，參與系統架構設計、API 開發、資料庫管理與雲端部署，確保系統穩定性與安全性。

必要技能
1. Node.js 與相關框架（如 Express.js、Koa.js、Socket.io）。
2. JavaScript（ES6+）與 TypeScript。
3.資料庫設計與操作（MySQL、MongoDB、Redis）。
4.版本控制工具（Git、GitHub/GitLab）。
5.具備 API 效能調校與安全性強化的經驗。

加分技能
1. 熟悉微服務架構（Microservices）與消息佇列（RabbitMQ、Kafka）。
2. 熟悉 CI/CD 工具（GitHub Actions、GitLab CI）。
3. 有大型系統開發經驗，能處理高併發與大流量應用經驗。
4. 熟悉 Web Socket等應用技能優先。"|月薪40,000~70,000元|不拘|大學以上|MySQL, PostgreSQL, Node.js, VueJS|"【法定福利】
週休二日 | 勞保  | 健保  | 女性生理假  | 勞工退休金提撥

【其他福利】
年終獎金 | 三節獎金/禮品 | 員工團保 |  特休/年假 |  
結婚禮金 | 免費茶點 | 咖啡吧 |  員工聚餐  |  尾牙/春酒 |  貓奴養成
"|高雄市前鎮區|2025-03-29|https://www.104.com.tw/job/8m7g7?jobsource=m_index_s|40000
前端工程師|高階前端工程師【須精通Vue.js】|"【職務說明】本職務目前無遠端人才需求
1. 開發高品質程式碼：參與開發易於維護且高品質的程式碼，符合最佳實踐標準。
2. 團隊合作：與團隊密切合作，進行技術溝通並參與程式碼審查（code review）。
3. 前端開發：負責前端功能的程式設計和設計，並注重性能和安全性。
4. 跨部門合作：與UI設計師和後端工程師合作，提升產品的易用性。
5. 持續學習：積極學習並將新技術應用於產品開發中。

【職位要求】
1. 精通網頁技術：精通HTML、CSS、JavaScript（包括ES6+），並熟悉TypeScript。
2. 框架經驗：熟悉React或Vue.js。
3. API 串接：熟悉RESTful API的串接經驗。
4. 測試與工具：具備基本的單元測試與打包工具使用經驗。
5. 版本控制：熟悉Git操作。
6. 熱情與團隊合作：對前端開發充滿熱情，擁有良好的溝通能力和團隊合作精神。
7. UI框架：有使用UI框架如Quasar、Vuetify、Element UI等經驗。
8. Vite使用經驗：具備使用Vite進行開發的經驗。

【加分條件】
1. 進階概念知識：了解TDD/DDD及OAuth2協議。
2. UI/UX 設計認識：具備基本的UI/UX設計知識。
3. 後端與操作系統技能：熟悉Node.js和Linux操作。
4. 跨瀏覽器測試：能夠在不同瀏覽器和平台上進行測試。

【其他資訊】
1. 作業系統：主要使用macOS作業系統。
2. 薪資可談：對於具備卓越技能的候選人，薪資可面議。"|月薪60,000~100,000元|2年以上|專科以上|Git, HTML, JavaScript, CSS, Node.js, ReactJS, VueJS|"【法定項目】
勞保、健保、特別休假

【其他福利】
年終獎金、三節獎金/禮品、特殊節日獎金禮品、零食櫃、咖啡吧、結婚禮金

在職員工所享福利制度:
【獎金福利】
◆保證年薪13個月
◆生日禮金
◆三節禮金
◆團建活動

【作息時間及休假制度】
◆彈性上班制度：可在上午09:00至10:00之間彈性選擇上班時間，以便更好地平衡工作與生活。
◆法定節假日休假：遵循勞基法規定，所有紅字假日均予以休假。
◆全面的休假安排：完善的休假制度、病假、事假…等，滿足員工的休息需求。
◆依法提供特休假

【健康完善的職場環境】
◆開放的工作空間：公司提供開放且愉快的工作環境，讓員工能在輕鬆的氛圍中充滿活力地工作。
◆位便利的地理位置：辦公地點臨近購物商場，員工中午可以利用休息時間放鬆。
◆鼓勵開放溝通：公司鼓勵員工提出建議或反饋，致力於及時解決問題，營造積極的工作氛圍。
◆免費供應飲料與零食：提供咖啡、飲料及各類零食，讓員工能隨時補充能量，保持良好狀態。
◆定期團隊聚餐：公司定期安排團隊聚餐活動，促進同事之間的互動和交流。
◆偶爾的下午茶時間：不定期舉辦下午茶活動，為員工提供額外的放鬆機會。"|台中市西屯區|2025-03-29|https://www.104.com.tw/job/8kx4g?jobsource=m_index_s|60000
前端工程師|SEO工程師、Web數據分析師（Jr. SEO Engineer）|"【加入玩構科技，與全球 AI 科技領航者並肩前行！ 】

想在 AI + SEO + 數據分析 的交叉領域成為佼佼者？現在，就是你的機會！

玩構科技（OneLab Technology） 是台灣領先的 AI 企業，旗下 AI 產品品牌 GenApe（https://app.genape.ai/）**，為電商、醫療、金融、科技等產業提供業界最創新的**生成式 AI 生產力工具。

我們不只是技術的實踐者，更是創新的推動者！

■ Google、Microsoft AI Cloud 合作夥伴
■ NVIDIA Inception Program 成員
■ 與全球 AI 科技生態鏈深度合作，不斷拓展 AI 應用的極限

現在，我們正在尋找對 SEO、數據分析、AI 行銷 充滿熱情的夥伴，一起突破傳統 SEO 框架，打造 AI 驅動的智慧行銷新時代！
_______________________________________________________________________

【工作內容】

▶ SEO 優化與增長策略

深入分析 Google 搜尋引擎演算法，制定並執行 SEO 策略，提升網站排名與流量轉換。
運用數據與 A/B 測試，找出最佳關鍵字策略、內容優化、技術 SEO 解決方案。

▶ 數據分析驅動決策

透過 Google Analytics、Search Console、Screaming Frog等工具，分析 SEO 成效並調整策略。
監控網站指標，透過數據驅動決策，持續優化行銷成效。

▶ AI + SEO 行銷創新

運用 GenApe 生成式 AI 技術，結合 RAG（檢索增強生成） 提升 SEO 內容品質與搜尋排名。
參與內部SEO工具開發，透過 AI 技術優化 SEO 流程與工作效率。

▶ 跨部門合作，驅動 SEO 成長

開發、行銷團隊協作，執行技術 SEO 優化，確保網站具備最強競爭力！
_______________________________________________________________________

【我們尋找的人才】

我們希望你是對數據與專案管理充滿熱情，並願意學習與挑戰新技術的人才。如果你具備以下特質，我們邀請你加入我們的團隊：

✔ 數據驅動的行銷思維：你樂於從數據中挖掘機會，並以結果為導向調整 SEO 策略。
✔ 解決問題的高手：SEO 不只是關鍵字排名，而是如何用技術與數據解決流量成長的挑戰！
✔ 學習與探索精神：SEO + AI 是未來的趨勢，你願意不斷學習並掌握最新技術。

_______________________________________________________________________

【加分條件】（如果有更好！但我們更看重你的潛力）

♥ 有 SEO 優化經驗，能獨立進行 關鍵字研究、內容策略、技術 SEO。
♥ 熟悉 Google Search Console、GA4、Ahrefs、SEMrush 等 SEO 工具。
♥ 具備 HTML、JavaScript、Python 基礎，能與開發團隊協作進行技術 SEO 優化。

_______________________________________________________________________

【我們的福利】

● 假勤優於勞基法，滿一年享 彈性休假，讓工作與生活平衡！
● 外縣市租屋補助最高 6 個月，減輕你的生活壓力！
● 不定期聚餐、下午茶，與團隊一起共享美好時光！
● 辦公室設有零食櫃、茶包、冰箱及電鍋，提升員工工作舒適度。
● 優於市場的調薪幅度，你的成長與貢獻，我們看得見！
● 子公司配股認股計畫，與公司共同成長，創造未來！

_______________________________________________________________________

【加入玩構】

如果你對 SEO、數據分析、AI 行銷 充滿熱情，現在就是加入玩構科技的最佳時機！
歡迎台北、新北、台中等地區的人才立即應徵，
讓我們一起用數據與技術顛覆市場、創造未來！ "|月薪36,000~56,000元|不拘|專科以上|SEO, Google Analytics, Google Trend|特殊福利：補班日彈休、不定期活動、配股認股|高雄市楠梓區|2025-03-29|https://www.104.com.tw/job/8c9mq?jobsource=m_index_s|36000
前端工程師|網頁設計師(wordpress)|"1.負責使用 WordPress 平台製作並維護網站，包含版面設計、外觀調整及內容編輯。
2.具備網頁美感與使用者體驗概念，能獨立完成響應式 (RWD) 網頁製作與優化。
3.熟悉 WordPress 外掛 (Plugin) 及主題 (Theme) 安裝、設定與客製化調整。
4.熟悉 HTML、CSS、JavaScript 等前端語言，能進行必要的程式碼修改與調校。
5.具備基礎的SEO知識，能協助網站進行SEO架構優化與設定。
6.定期檢測網站效能，提升網站載入速度及安全性。"|月薪36,000~52,000元|2年以上|大學以上|HTML, CSS, Adobe Photoshop, Illustrator, PHP|"◆ 休閒類
1.不定期國外旅遊
2.每月部門聚餐

◆ 制度類
1.年終績效獎金
2.完整的教育訓練
3.依照勞基法給假
4..勞健保（遵照勞基法）

◆ 請 / 休假制度
1.週休二日
2.特休/年假
3.陪產假
"|台中市西屯區|2025-03-29|https://www.104.com.tw/job/8npvc?jobsource=m_index_s|36000
前端工程師|前端軟體工程師(網頁) Frontend Software Engineer|"我們是 ACG愛創作，是台灣 AVG 遊戲的國產品牌，我們喜歡遊戲，更尊重文化創作，並重視遊戲創作的本質，鼓勵創作者做出更多、更深具意義的遊戲。為讓創作者能更加專注做遊戲，我們投入更多精力、技術研發（平台及編輯器...等），希望能打造一個良好的文化創意生態圈。

如果您也熱愛遊戲，希望打造一個完美的二次元文創生態圈
歡迎您加入我們，共創這個富具文化創意的生態圈。

-----------------------------------------------------------------------

網頁平台開發與維護  

工作內容 
1. 公司現有系統、專案開發與維護，配合團隊解決代碼問題及線上版本更新。
2. 與產品、運營、後端溝通協作開發需求

需求條件：
1. 熟悉網站頁面切版 ( HTML / CSS / PostCSS )
2. 熟悉 Vue 2 / Nuxt2 (包含 SPA、SSR 設計開發) 
3. 熟悉 RWD 設計開發
4. 熟悉 GraphQL / RESTful / 串接 API 資料
5. 熟悉版本控制 Git 操作
6. 獨立作業、專案合作與模組化能力

有提供以下資訊的優先面試:
1. 附上 Github (或其他如 gitlab / bitbucket) 連結，或附上核心代碼片段者為優先考量

加分條件：
1. 具備 UI / UX 相關設計能力及經驗
2. 有自動化測試經驗
3. 有 ELECTRON 開發經驗: https://www.electronjs.org/
4. 使用過 phaser3 game engine: https://github.com/photonstorm/phaser
5. 使用過 fabricjs canvas library: http://fabricjs.com/
6. 有使用過 canvas 製作動畫或遊戲經驗
7. 有遠端工作經驗

如果你是 Junior 我們會帶著你做產品開發
如果你是 Intermediate 我們會希望你幫忙做 Code Refactor 跟基本的系統設計開發
如果你是 Senior 我們會希望你有能力把我電翻，打造更可靠更好的程式架構

薪資範圍，依據能力做調整

Junior Engineer NTD 40,000 ~ NTD 55,000 / Month (工作經驗: 1~2年)
Intermediate Engineer NTD 55,000 ~ NTD 70,000 / Month (工作經驗: 2~3年+)
Senior Engineer NTD 70,000 ~ NTD 80,000 / Month (工作經驗: 3~5年+)


面試流程
1. 上機 30分鐘 (一道題，會準備好 windows 筆電供您使用)
2. 口試 15~30分鐘"|月薪40,000~80,000元|不拘|不拘|Github, Git, HTML, JavaScript, CSS, VueJS|"•豐富下午茶
•自動咖啡機

輕鬆活潑的工作氛圍，歡迎您加入玩喵！"|台北市中正區|2025-03-29|https://www.104.com.tw/job/7e12r?jobsource=m_index_s|40000
前端工程師|前端系統工程師|"1. 負責專案的前端修改和開發工作
2. 與PM、後端工程師協作，開發網頁前端互動
3. 網頁切版，套版、特效互動設計
4. 前端效能優化
5. 跨瀏覽器和響應式設計(RWD)的頁面開發

必備條件
1. 具備前端開發相關經驗兩年以上
2. 熟悉 html、CSS、Javascript、Bootstrap、JSON等技術
3. 熟悉至少一種前端框架 (Vue.js / React.js / Angular.js / Node.js) 與程式設計架構能力
4. 熟悉 RESTful API串接與整合
5. RWD 開發經驗
6. 熟悉 Git，遵照 Git Flow 版本控管
7. 熟悉 跨裝置、跨瀏覽器、跨尺寸等相容技術

[加分項]
1. Unit test / E2E test 撰寫經驗
2. 有PHP相關開發經驗
3. 具備資安相關經驗與知識
"|月薪45,000~55,000元|2年以上|專科以上|Git, AJAX, HTML, JavaScript, jQuery, CSS|"勞、健保
在職教育訓練
底薪+獎金
年假
◆ 獎金/禮品類
	1.年終獎金
	2.三節獎金/禮品
◆ 保險類
	1.員工團保
◆ 休閒類
	1.國內旅遊
◆ 制度類
	1.員工制服
	2.介紹獎金
◆ 請/休假制度
	1.特休/年假"|台北市大安區|2025-03-29|https://www.104.com.tw/job/8bwbh?jobsource=m_index_s|45000
